epoch,training_loss,validation_loss
1,2.220288254623413,nan
2,1.7728848114013671,nan
3,1.1779611396980285,nan
4,0.7994470921325684,nan
5,0.6052947953987121,0.4365299195766449
6,0.4958839588165283,nan
7,0.42623656128883364,nan
8,0.37755006814956665,nan
9,0.34029747077941896,nan
10,0.31057194359779355,0.24822690725326538
11,0.28635312724113465,nan
12,0.2635458841753006,nan
13,0.24153875329494476,nan
14,0.2250358992576599,nan
15,0.21102271391391755,0.17624924881458282
16,0.19758480888843535,nan
17,0.1849179357099533,nan
18,0.17315042973041533,nan
19,0.16173827459812165,nan
20,0.15461155841350555,0.14100290760993958
21,0.14698003195285797,nan
22,0.13932439476966857,nan
23,0.13162342125415802,nan
24,0.12406266623020172,nan
25,0.11903991152048111,0.11618362430334091
26,0.11449406915664673,nan
27,0.10759266933917999,nan
28,0.10346834317684174,nan
29,0.09918702235937119,nan
30,0.09457030191659928,0.10193470937013627
31,0.08816246428966522,nan
32,0.08566694094896317,nan
33,0.08128254288434983,nan
34,0.07958694728374481,nan
35,0.07554161846160888,0.09518888515233993
36,0.07098107777357102,nan
37,0.0693386491560936,nan
38,0.06395682021021842,nan
39,0.06330626796722412,nan
40,0.06101817741036415,0.08820235008001327
41,0.05883629977703095,nan
42,0.055692718527317046,nan
43,0.05467780609607697,nan
44,0.049493756430149076,nan
45,0.04993589896798134,0.08406148375272751
46,0.04670886056542396,nan
47,0.04449598292350769,nan
48,0.04325753049135208,nan
49,0.04184968474268913,nan
50,0.04057547981441021,0.08023058897256852
51,0.036942069051265715,nan
52,0.03555160010814667,nan
53,0.036466557283401486,nan
54,0.03352507887363434,nan
55,0.03218620451509953,0.08015703139305115
56,0.03094204935014248,nan
57,0.030454409661889077,nan
58,0.029249084512591363,nan
59,0.028601419644355773,nan
60,0.026741938376426695,0.08389737713336945
61,0.026375774039030075,nan
62,0.02568889678955078,nan
63,0.024827602015137673,nan
64,0.024093032836318015,nan
65,0.02374717899799347,0.08134498240947724
66,0.02095300720989704,nan
67,0.021396452361941338,nan
68,0.02115440238893032,nan
69,0.02094275011241436,nan
70,0.02024706047296524,0.08072898293733596
71,0.01770555161088705,nan
72,0.01867647729456425,nan
73,0.018470070649385453,nan
74,0.017172086255550386,nan
75,0.017786483561396598,0.08383861594200134
