target_arch,source_arch,mean_relative_regret
mlp_3x_252x32x16,mlp_3x_252x32x16,1.0
mlp_3x_252x32x16,mlp_3x_248x32x92,1.0561251300012915
mlp_3x_252x32x16,mlp_3x_244x48x56,1.0561251300012915
mlp_3x_252x32x16,mlp_3x_216x120x84,1.2092990974050035
mlp_3x_252x32x16,mlp_3x_188x192x112,1.2092990974050035
mlp_3x_252x32x16,mlp_3x_160x264x140,1.2676865487745463
mlp_3x_252x32x16,mlp_3x_160x204x224,1.2225489406441814
mlp_3x_252x32x16,mlp_3x_120x204x408,1.541603544675296
mlp_3x_248x32x92,mlp_3x_252x32x16,1.0159876690544565
mlp_3x_248x32x92,mlp_3x_248x32x92,1.0
mlp_3x_248x32x92,mlp_3x_244x48x56,1.0
mlp_3x_248x32x92,mlp_3x_216x120x84,1.034728150711505
mlp_3x_248x32x92,mlp_3x_188x192x112,1.034728150711505
mlp_3x_248x32x92,mlp_3x_160x264x140,1.0690857371372178
mlp_3x_248x32x92,mlp_3x_160x204x224,1.0908149614109888
mlp_3x_248x32x92,mlp_3x_120x204x408,1.1448650524492752
mlp_3x_244x48x56,mlp_3x_252x32x16,1.0524084257650252
mlp_3x_244x48x56,mlp_3x_248x32x92,1.0
mlp_3x_244x48x56,mlp_3x_244x48x56,1.0
mlp_3x_244x48x56,mlp_3x_216x120x84,1.048334732855935
mlp_3x_244x48x56,mlp_3x_188x192x112,1.048334732855935
mlp_3x_244x48x56,mlp_3x_160x264x140,1.087694247015123
mlp_3x_244x48x56,mlp_3x_160x204x224,1.0708883290038373
mlp_3x_244x48x56,mlp_3x_120x204x408,1.1963789007993177
mlp_3x_216x120x84,mlp_3x_252x32x16,1.0580045940385883
mlp_3x_216x120x84,mlp_3x_248x32x92,0.9834965248727165
mlp_3x_216x120x84,mlp_3x_244x48x56,0.9834965248727165
mlp_3x_216x120x84,mlp_3x_216x120x84,1.0
mlp_3x_216x120x84,mlp_3x_188x192x112,1.0
mlp_3x_216x120x84,mlp_3x_160x264x140,1.0215178490961212
mlp_3x_216x120x84,mlp_3x_160x204x224,1.0257201390009347
mlp_3x_216x120x84,mlp_3x_120x204x408,1.0720373022450573
mlp_3x_188x192x112,mlp_3x_252x32x16,1.105996855593251
mlp_3x_188x192x112,mlp_3x_248x32x92,1.047486566980762
mlp_3x_188x192x112,mlp_3x_244x48x56,1.047486566980762
mlp_3x_188x192x112,mlp_3x_216x120x84,1.0
mlp_3x_188x192x112,mlp_3x_188x192x112,1.0
mlp_3x_188x192x112,mlp_3x_160x264x140,1.0018288043010257
mlp_3x_188x192x112,mlp_3x_160x204x224,1.044064047132657
mlp_3x_188x192x112,mlp_3x_120x204x408,1.0656045559182896
mlp_3x_160x264x140,mlp_3x_252x32x16,1.0863910063865847
mlp_3x_160x264x140,mlp_3x_248x32x92,1.0194571256534468
mlp_3x_160x264x140,mlp_3x_244x48x56,1.0194571256534468
mlp_3x_160x264x140,mlp_3x_216x120x84,1.012051518013688
mlp_3x_160x264x140,mlp_3x_188x192x112,1.012051518013688
mlp_3x_160x264x140,mlp_3x_160x264x140,1.0
mlp_3x_160x264x140,mlp_3x_160x204x224,1.0326065326861291
mlp_3x_160x264x140,mlp_3x_120x204x408,1.0122777396180016
mlp_3x_160x204x224,mlp_3x_252x32x16,1.0627900333150229
mlp_3x_160x204x224,mlp_3x_248x32x92,1.0289330380684525
mlp_3x_160x204x224,mlp_3x_244x48x56,1.0289330380684525
mlp_3x_160x204x224,mlp_3x_216x120x84,0.9734382641403547
mlp_3x_160x204x224,mlp_3x_188x192x112,0.9734382641403547
mlp_3x_160x204x224,mlp_3x_160x264x140,0.9959706662614914
mlp_3x_160x204x224,mlp_3x_160x204x224,1.0
mlp_3x_160x204x224,mlp_3x_120x204x408,1.0228849239134978
mlp_3x_120x204x408,mlp_3x_252x32x16,1.0463428076063677
mlp_3x_120x204x408,mlp_3x_248x32x92,0.9784652725087226
mlp_3x_120x204x408,mlp_3x_244x48x56,0.9784652725087226
mlp_3x_120x204x408,mlp_3x_216x120x84,0.9840285522313286
mlp_3x_120x204x408,mlp_3x_188x192x112,0.9840285522313286
mlp_3x_120x204x408,mlp_3x_160x264x140,0.9995072207204424
mlp_3x_120x204x408,mlp_3x_160x204x224,0.9987955808834212
mlp_3x_120x204x408,mlp_3x_120x204x408,1.0
