target_arch,source_arch,seed,test_loss
mlp_3x_252x32x16,mlp_3x_252x32x16,1,0.08733116456270218
mlp_3x_252x32x16,mlp_3x_252x32x16,2,0.08259925018548965
mlp_3x_252x32x16,mlp_3x_252x32x16,3,0.08672877383232117
mlp_3x_252x32x16,mlp_3x_252x32x16,4,0.0812172233581543
mlp_3x_252x32x16,mlp_3x_252x32x16,5,0.08592928647994995
mlp_3x_252x32x16,mlp_3x_248x32x92,1,0.09410747907161712
mlp_3x_252x32x16,mlp_3x_248x32x92,2,0.08444720675945282
mlp_3x_252x32x16,mlp_3x_248x32x92,3,0.08931042431592941
mlp_3x_252x32x16,mlp_3x_248x32x92,4,0.08623962724208832
mlp_3x_252x32x16,mlp_3x_248x32x92,5,0.09348711094856262
mlp_3x_252x32x16,mlp_3x_244x48x56,1,0.09410747907161712
mlp_3x_252x32x16,mlp_3x_244x48x56,2,0.08444720675945282
mlp_3x_252x32x16,mlp_3x_244x48x56,3,0.08931042431592941
mlp_3x_252x32x16,mlp_3x_244x48x56,4,0.08623962724208832
mlp_3x_252x32x16,mlp_3x_244x48x56,5,0.09348711094856262
mlp_3x_252x32x16,mlp_3x_216x120x84,1,0.10059114038944245
mlp_3x_252x32x16,mlp_3x_216x120x84,2,0.09898225793838501
mlp_3x_252x32x16,mlp_3x_216x120x84,3,0.09859726500511169
mlp_3x_252x32x16,mlp_3x_216x120x84,4,0.10542964580059051
mlp_3x_252x32x16,mlp_3x_216x120x84,5,0.10890753943920135
mlp_3x_252x32x16,mlp_3x_188x192x112,1,0.10059114038944245
mlp_3x_252x32x16,mlp_3x_188x192x112,2,0.09898225793838501
mlp_3x_252x32x16,mlp_3x_188x192x112,3,0.09859726500511169
mlp_3x_252x32x16,mlp_3x_188x192x112,4,0.10542964580059051
mlp_3x_252x32x16,mlp_3x_188x192x112,5,0.10890753943920135
mlp_3x_252x32x16,mlp_3x_160x264x140,1,0.10380672762393951
mlp_3x_252x32x16,mlp_3x_160x264x140,2,0.1031582026720047
mlp_3x_252x32x16,mlp_3x_160x264x140,3,0.0993102177619934
mlp_3x_252x32x16,mlp_3x_160x264x140,4,0.11433272454738617
mlp_3x_252x32x16,mlp_3x_160x264x140,5,0.11664491057395936
mlp_3x_252x32x16,mlp_3x_160x204x224,1,0.10521606345176697
mlp_3x_252x32x16,mlp_3x_160x204x224,2,0.10070551016330719
mlp_3x_252x32x16,mlp_3x_160x204x224,3,0.0986262107372284
mlp_3x_252x32x16,mlp_3x_160x204x224,4,0.10704589576721191
mlp_3x_252x32x16,mlp_3x_160x204x224,5,0.10652952752113343
mlp_3x_252x32x16,mlp_3x_120x204x408,1,0.12353724567890167
mlp_3x_252x32x16,mlp_3x_120x204x408,2,0.12145617823600768
mlp_3x_252x32x16,mlp_3x_120x204x408,3,0.12905561707019805
mlp_3x_252x32x16,mlp_3x_120x204x408,4,0.13868544347286224
mlp_3x_252x32x16,mlp_3x_120x204x408,5,0.14060588247776032
mlp_3x_248x32x92,mlp_3x_252x32x16,1,0.08025701597929001
mlp_3x_248x32x92,mlp_3x_252x32x16,2,0.08138661291599274
mlp_3x_248x32x92,mlp_3x_252x32x16,3,0.07907115197181702
mlp_3x_248x32x92,mlp_3x_252x32x16,4,0.08307588620185852
mlp_3x_248x32x92,mlp_3x_252x32x16,5,0.08354226322174073
mlp_3x_248x32x92,mlp_3x_248x32x92,1,0.0813133980512619
mlp_3x_248x32x92,mlp_3x_248x32x92,2,0.08163681166172028
mlp_3x_248x32x92,mlp_3x_248x32x92,3,0.07884757735729217
mlp_3x_248x32x92,mlp_3x_248x32x92,4,0.07902412188053132
mlp_3x_248x32x92,mlp_3x_248x32x92,5,0.08010119543075561
mlp_3x_248x32x92,mlp_3x_244x48x56,1,0.0813133980512619
mlp_3x_248x32x92,mlp_3x_244x48x56,2,0.08163681166172028
mlp_3x_248x32x92,mlp_3x_244x48x56,3,0.07884757735729217
mlp_3x_248x32x92,mlp_3x_244x48x56,4,0.07902412188053132
mlp_3x_248x32x92,mlp_3x_244x48x56,5,0.08010119543075561
mlp_3x_248x32x92,mlp_3x_216x120x84,1,0.07865724657773972
mlp_3x_248x32x92,mlp_3x_216x120x84,2,0.08666722638607025
mlp_3x_248x32x92,mlp_3x_216x120x84,3,0.08275870449542999
mlp_3x_248x32x92,mlp_3x_216x120x84,4,0.08071693542003631
mlp_3x_248x32x92,mlp_3x_216x120x84,5,0.08604630949497223
mlp_3x_248x32x92,mlp_3x_188x192x112,1,0.07865724657773972
mlp_3x_248x32x92,mlp_3x_188x192x112,2,0.08666722638607025
mlp_3x_248x32x92,mlp_3x_188x192x112,3,0.08275870449542999
mlp_3x_248x32x92,mlp_3x_188x192x112,4,0.08071693542003631
mlp_3x_248x32x92,mlp_3x_188x192x112,5,0.08604630949497223
mlp_3x_248x32x92,mlp_3x_160x264x140,1,0.08355757406949997
mlp_3x_248x32x92,mlp_3x_160x264x140,2,0.08640180966854095
mlp_3x_248x32x92,mlp_3x_160x264x140,3,0.08464751508235932
mlp_3x_248x32x92,mlp_3x_160x264x140,4,0.08551622343063355
mlp_3x_248x32x92,mlp_3x_160x264x140,5,0.0884980503320694
mlp_3x_248x32x92,mlp_3x_160x204x224,1,0.09171965280771255
mlp_3x_248x32x92,mlp_3x_160x204x224,2,0.08319869329929352
mlp_3x_248x32x92,mlp_3x_160x204x224,3,0.08498690407276153
mlp_3x_248x32x92,mlp_3x_160x204x224,4,0.08853604919910431
mlp_3x_248x32x92,mlp_3x_160x204x224,5,0.08889162125587463
mlp_3x_248x32x92,mlp_3x_120x204x408,1,0.08801542484760284
mlp_3x_248x32x92,mlp_3x_120x204x408,2,0.09197746365070343
mlp_3x_248x32x92,mlp_3x_120x204x408,3,0.09487788333892823
mlp_3x_248x32x92,mlp_3x_120x204x408,4,0.08692514995336532
mlp_3x_248x32x92,mlp_3x_120x204x408,5,0.09720692913532257
mlp_3x_244x48x56,mlp_3x_252x32x16,1,0.079458256483078
mlp_3x_244x48x56,mlp_3x_252x32x16,2,0.08120060721635819
mlp_3x_244x48x56,mlp_3x_252x32x16,3,0.08143494961261749
mlp_3x_244x48x56,mlp_3x_252x32x16,4,0.08511828010082245
mlp_3x_244x48x56,mlp_3x_252x32x16,5,0.08108851726055145
mlp_3x_244x48x56,mlp_3x_248x32x92,1,0.07749726111888885
mlp_3x_244x48x56,mlp_3x_248x32x92,2,0.07670901048183441
mlp_3x_244x48x56,mlp_3x_248x32x92,3,0.07718102655410766
mlp_3x_244x48x56,mlp_3x_248x32x92,4,0.08048441753387452
mlp_3x_244x48x56,mlp_3x_248x32x92,5,0.07609611189365387
mlp_3x_244x48x56,mlp_3x_244x48x56,1,0.07749726111888885
mlp_3x_244x48x56,mlp_3x_244x48x56,2,0.07670901048183441
mlp_3x_244x48x56,mlp_3x_244x48x56,3,0.07718102655410766
mlp_3x_244x48x56,mlp_3x_244x48x56,4,0.08048441753387452
mlp_3x_244x48x56,mlp_3x_244x48x56,5,0.07609611189365387
mlp_3x_244x48x56,mlp_3x_216x120x84,1,0.07986185389757157
mlp_3x_244x48x56,mlp_3x_216x120x84,2,0.07775239754915238
mlp_3x_244x48x56,mlp_3x_216x120x84,3,0.08242305474281311
mlp_3x_244x48x56,mlp_3x_216x120x84,4,0.08072636513710021
mlp_3x_244x48x56,mlp_3x_216x120x84,5,0.08595647755861283
mlp_3x_244x48x56,mlp_3x_188x192x112,1,0.07986185389757157
mlp_3x_244x48x56,mlp_3x_188x192x112,2,0.07775239754915238
mlp_3x_244x48x56,mlp_3x_188x192x112,3,0.08242305474281311
mlp_3x_244x48x56,mlp_3x_188x192x112,4,0.08072636513710021
mlp_3x_244x48x56,mlp_3x_188x192x112,5,0.08595647755861283
mlp_3x_244x48x56,mlp_3x_160x264x140,1,0.08533392539024354
mlp_3x_244x48x56,mlp_3x_160x264x140,2,0.07996819648742676
mlp_3x_244x48x56,mlp_3x_160x264x140,3,0.08772020275592804
mlp_3x_244x48x56,mlp_3x_160x264x140,4,0.08209479591846466
