epoch,training_loss,validation_loss
1,2.0659657275390626,nan
2,1.037257465686798,nan
3,0.5927541137313843,nan
4,0.44323846432685854,nan
5,0.3601772179222107,0.28572722101211545
6,0.3039332232475281,nan
7,0.26248111077308656,nan
8,0.23474574030399323,nan
9,0.2083365805387497,nan
10,0.18503747610569,0.1697874088525772
11,0.16677959239482879,nan
12,0.14997558471202851,nan
13,0.13348298965454103,nan
14,0.12026761256933212,nan
15,0.11041626892328263,0.1150359771490097
16,0.10092224765777588,nan
17,0.09291820855617523,nan
18,0.08185869156837464,nan
19,0.07721008966684341,nan
20,0.07102944494247436,0.09125845123529434
21,0.06379071899294853,nan
22,0.061698448448181155,nan
23,0.056359896619319914,nan
24,0.05113048139572143,nan
25,0.043585879499912265,0.08391200201511383
26,0.04381170808434486,nan
27,0.03831745162844658,nan
28,0.037187060248851773,nan
29,0.03335448685526848,nan
30,0.0308240161216259,0.07850407699346543
31,0.027412102062702177,nan
32,0.025504166901111604,nan
33,0.02556852776706219,nan
34,0.022622665261626245,nan
35,0.022408721706867217,0.08323255645036698
36,0.019637857698202133,nan
37,0.019537440679073335,nan
38,0.018611878858804703,nan
39,0.01531130836725235,nan
40,0.016233609926104547,0.0878388020157814
41,0.014891479525268078,nan
42,0.012974714080095292,nan
43,0.012361547439098359,nan
44,0.011584455978870391,nan
45,0.010837839449048042,0.08912918847799302
46,0.010321936456561088,nan
47,0.010412467507719994,nan
48,0.010852964568734169,nan
49,0.008452790225446224,nan
50,0.008435695417746901,0.08999300841093064
51,0.008650936842858791,nan
52,0.008374967243522406,nan
53,0.0077157086944580075,nan
54,0.00825131169617176,nan
55,0.006939928840696811,0.10018316760063171
56,0.006213013184666633,nan
57,0.006365936213061214,nan
58,0.007503964649438858,nan
59,0.005151218235194683,nan
60,0.004747485426664352,0.09898739919662476
61,0.005208275356888771,nan
62,0.006180920715928078,nan
63,0.006885586146861315,nan
64,0.006506604702472687,nan
65,0.0062843565978109835,0.10510968066453934
