epoch,training_loss,validation_loss
1,2.223160577545166,nan
2,1.5256090827941895,nan
3,0.8617152784919738,nan
4,0.6680114925765991,nan
5,0.5373677108192444,0.4287560659408569
6,0.46219841850280763,nan
7,0.40803863416671754,nan
8,0.35998963272094725,nan
9,0.32742454562187195,nan
10,0.30194702370643617,0.2588533596992493
11,0.27665460830688476,nan
12,0.2544350512886047,nan
13,0.23670078125,nan
14,0.21695929214000703,nan
15,0.2001708185195923,0.1800389518737793
16,0.18508937035560608,nan
17,0.17428082499980926,nan
18,0.16029465083122255,nan
19,0.1502457999110222,nan
20,0.13907330181598662,0.13730594370365143
21,0.13150699610948563,nan
22,0.12280503883838653,nan
23,0.11567907898664474,nan
24,0.1082688871383667,nan
25,0.10328457162618637,0.11307542142868042
26,0.09703380765676499,nan
27,0.09118224514484405,nan
28,0.08562622250080108,nan
29,0.08219893789291381,nan
30,0.07702512433052063,0.0946621188402176
31,0.0720908139538765,nan
32,0.07008068728208541,nan
33,0.06647450273036956,nan
34,0.06261334612369537,nan
35,0.058502186996936795,0.08939337183237075
36,0.056727631561756135,nan
37,0.05455626085996628,nan
38,0.051995786794424056,nan
39,0.049754446865320205,nan
40,0.04730734431684017,0.08977769594192504
41,0.04586888806700706,nan
42,0.04268899720430374,nan
43,0.040420984514951706,nan
44,0.038674716703891755,nan
45,0.03775505988776684,0.08452916569709777
46,0.034964060028791426,nan
47,0.03514654734015465,nan
48,0.033424526047110555,nan
49,0.030882561724185943,nan
50,0.029488650507926942,0.08719140943288803
51,0.02878479390382767,nan
52,0.02684933411002159,nan
53,0.02753644034385681,nan
54,0.026335477679371833,nan
55,0.02520478430688381,0.08757113374471664
56,0.02334954825878143,nan
57,0.023316268281936645,nan
58,0.021414787146747112,nan
59,0.023850819948762654,nan
60,0.020094558112025263,0.09180487172603607
61,0.020233073036670685,nan
62,0.0196637127828598,nan
63,0.01973653540030122,nan
64,0.019851695252656936,nan
65,0.01770157699227333,0.09389770162105561
