target_arch,source_arch,mean_regret,var_regret,min_regret,max_regret
mlp_3x_252x32x16,mlp_3x_252x32x16,0.0,5.814857616808167e-06,-0.003543916325569149,0.0025700248789787272
mlp_3x_252x32x16,mlp_3x_192x126x64,0.010266920268535623,4.764187570670991e-06,0.007283587284088136,0.013594320340156549
mlp_3x_252x32x16,mlp_3x_126x126x126,0.010266920268535623,4.764187570670991e-06,0.007283587284088136,0.013594320340156549
mlp_3x_252x32x16,mlp_3x_286x16x16,0.0,5.814857616808167e-06,-0.003543916325569149,0.0025700248789787272
mlp_3x_192x126x64,mlp_3x_252x32x16,0.0030513883376121487,1.7644492606441224e-06,0.001529653241634371,0.005226970746517179
mlp_3x_192x126x64,mlp_3x_192x126x64,0.0,4.522489212766577e-06,-0.0041479777193069445,0.0015922794842719995
mlp_3x_192x126x64,mlp_3x_126x126x126,0.0,4.522489212766577e-06,-0.0041479777193069445,0.0015922794842719995
mlp_3x_192x126x64,mlp_3x_286x16x16,0.0030513883376121487,1.7644492606441224e-06,0.001529653241634371,0.005226970746517179
mlp_3x_126x126x126,mlp_3x_252x32x16,0.007079834663867954,4.137895589333782e-06,0.0043816676759719925,0.009819024469852444
mlp_3x_126x126x126,mlp_3x_192x126x64,0.0,1.5797127077760884e-06,-0.0011211282467842032,0.002376247885227209
mlp_3x_126x126x126,mlp_3x_126x126x126,0.0,1.5797127077760884e-06,-0.0011211282467842032,0.002376247885227209
mlp_3x_126x126x126,mlp_3x_286x16x16,0.007079834663867954,4.137895589333782e-06,0.0043816676759719925,0.009819024469852444
mlp_3x_286x16x16,mlp_3x_252x32x16,0.0,4.710203995849503e-06,-0.003726117596626291,0.002083683195114122
mlp_3x_286x16x16,mlp_3x_192x126x64,0.0170976437807083,4.697513336469587e-05,0.008895696177482593,0.028459363641738886
mlp_3x_286x16x16,mlp_3x_126x126x126,0.0170976437807083,4.697513336469587e-05,0.008895696177482593,0.028459363641738886
mlp_3x_286x16x16,mlp_3x_286x16x16,0.0,4.710203995849503e-06,-0.003726117596626291,0.002083683195114122
